geo,country,year,house_price,inflation,earning,hpi_growth,income_growth,real_hpi,affordability_index
AT,Austria,2011,81.6,1.83363691560413,26375.67,,,80.13069401383258,0.0030937602722509038
BE,Belgium,2011,95.61,1.80715115528592,25519.86,,,93.91285279573982,0.0037464939070982364
BG,Bulgaria,2011,99.98,5.94192221843491,3396.45,,,94.37246172847195,0.029436617644893935
DE,Germany,2011,86.8,1.07993704889563,26088.04,,,85.87262965746805,0.0033271951438283596
EE,Estonia,2011,69.32,5.39959624747656,8324.26,,,65.76875288709621,0.008327466946010815
ES,Spain,2011,124.27,-0.0201170814138388,19891.57,,,124.29500452725408,0.006247370117089803
FI,Finland,2011,96.87,2.62359670035704,28421.92,,,94.39349537011792,0.0034082848730838736
FR,France,2011,105.46,0.948142014284232,25576.25,,,104.46948095892377,0.0041233566296857435
HU,Hungary,2011,90.45,1.92756405098791,6146.32,,,88.73948950134195,0.014716122818206667
IE,Ireland,2011,87.86,1.31597238311477,31159.23,,,86.71880448204895,0.0028197102431606943
IS,Iceland,2011,75.36,3.09740900233359,24971.24,,,73.09592038175687,0.003017871759672327
IT,Italy,2011,119.7,1.60722827531225,19983.62,,,117.80657934656386,0.00598990573279516
LT,Lithuania,2011,89.77,5.34977603273792,5401.3,,,85.21138191324067,0.01662007294540203
LU,Luxembourg,2011,83.09,4.774,36278.25,,,79.30402580792946,0.002290353035220828
LV,Latvia,2011,88.73,6.37336042648889,5286.45,,,83.41374160245542,0.01678442054686983
MT,Malta,2011,89.8,1.12390162845077,15642.97,,,88.80195339964529,0.005740597853220968
NL,Netherlands,2011,109.19,0.194481711439058,31612.2,,,108.97805760847001,0.003454046222660871
NO,Norway,2011,81.95,6.71633706864385,44490.18,,,76.79236586548765,0.0018419795109842218
PL,Poland,2011,105.7,3.27142026989216,7085.75,,,102.3516474584749,0.014917263521857248
PT,Portugal,2011,102.09,-0.265387146769708,12008.16,,,102.36165467472753,0.008501718831194788
SE,Sweden,2011,75.87,1.08898641393155,31319.63,,,75.05268644136291,0.0024224424107181343
SI,Slovenia,2011,120.39,1.04000000000001,11567.85,,,119.15083135391922,0.010407292625682386
AT,Austria,2012,87.57,2.05428961689397,26893.06,7.316176470588243,1.9616184157596805,85.80727015859188,0.0032562304178103936
BE,Belgium,2012,97.75,1.96103292337601,26287.51,2.2382595962765484,3.008049417198988,95.8699585492228,0.0037184959701394315
BG,Bulgaria,2012,98.07,1.52670963456529,3598.45,-1.9103820764152957,5.947386241516872,96.5952706957535,0.027253400769775876
DE,Germany,2012,89.8,1.48824224202728,26729.62,3.4562211981566726,2.4592878575776522,88.48315629099834,0.0033595688977246965
EE,Estonia,2012,74.37,4.02334463760605,8812.65,7.285054818234293,5.867068063707759,71.49356739017416,0.00843900529352692
ES,Spain,2012,105.9,-0.116702549347069,19975.06,-14.782328800193124,0.4197255420260948,106.02373239862212,0.005301611109052989
FI,Finland,2012,99.21,2.97315868116527,29246.92,2.4156085475379285,2.9026891920039155,96.34549553557241,0.0033921520625077787
FR,France,2012,104.88,1.16174148432214,25978.92,-0.5499715531955274,1.574390303504214,103.67555803322554,0.0040371193259765995
HU,Hungary,2012,87.1,2.89023207559936,6369.22,-3.703703703703709,3.6265602832263877,84.65332251948138,0.013675143895170836
IE,Ireland,2012,76.04,2.58289503773154,31541.73,-13.453221033462315,1.2275656362496834,74.12541825031487,0.0024107745516812173
IS,Iceland,2012,80.57,3.44071217725093,27158.87,6.913481953290868,8.760598192160241,77.89002831103792,0.0029666182724097136
IT,Italy,2012,116.7,1.54728153409982,20327.68,-2.506265664160401,1.7217100805559715,114.92183565821195,0.0057409404319627225
LT,Lithuania,2012,89.56,2.73485071179608,5635.73,-0.23393115740224513,4.3402514209542,87.17587009616072,0.01589146392747701
LU,Luxembourg,2012,86.58,2.55597762803749,37354.34,4.200264773137552,2.966212537815349,84.42218776756133,0.0023178029647960585
LV,Latvia,2012,91.36,3.59833444227425,5462.67,2.9640482362222498,3.3334279147632095,88.18674594706584,0.016724422306308086
MT,Malta,2012,92.54,2.14609698531127,15999.95,3.0512249443207295,2.28204746285392,90.5957278165091,0.0057837680742752326
NL,Netherlands,2012,101.86,1.44799667843055,31732.71,-6.713068962359192,0.3812135820980389,100.40612267867193,0.003209937001913798
NO,Norway,2012,87.48,3.34307079775775,47783.08,6.748017083587565,7.401408580500246,84.65008763983629,0.0018307735708958067
PL,Poland,2012,102.01,2.36125294375092,7235.5,-3.4910122989593173,2.113396605863871,99.65684970274452,0.014098541911409026
PT,Portugal,2012,94.87,-0.388496253405989,12253.01,-7.0721912038397505,2.039030126180874,95.24000384668811,0.007742587331602603
SE,Sweden,2012,76.83,1.00105069911903,33473.42,1.265322261763524,6.876805377330442,76.06851559284833,0.0022952539656838173
SI,Slovenia,2012,112.09,0.479018210609654,11707.47,-6.8942603206246345,1.206965857959763,111.55562822583823,0.009574229103299005
AT,Austria,2013,92.1,1.62309726899012,27520.54,5.173004453579999,2.3332413641288907,90.62900312535932,0.0033465913096181977
BE,Belgium,2013,98.9,1.27150259067358,26609.37,1.17647058823529,1.2243837472624808,97.65827253471404,0.003716735871612143
BG,Bulgaria,2013,95.92,-0.668561264337262,3798.06,-2.192311614153153,5.547110561491753,96.56560019759591,0.025254998604550744
DE,Germany,2013,92.6,1.96474670955182,27171.02,3.1180400890868487,1.6513515717769378,90.8157014931568,0.003408042833872265
EE,Estonia,2013,82.29,4.04319383069059,9445.7,10.649455425574828,7.183423828246904,79.09215102903364,0.00871190065320728
ES,Spain,2013,96.24,0.399871074313577,20061.89,-9.121813031161485,0.43469206100006375,95.85669679671744,0.0047971552032236246
FI,Finland,2013,100.35,2.55896963341912,29654.15,1.1490777139401276,1.3923859332880317,97.84614681552014,0.003384012018553895
FR,France,2013,102.93,0.777425272909715,26269.14,-1.85926773455376,1.1171365091389607,102.13596916299561,0.003918285866990698
HU,Hungary,2013,84.87,2.82548415734155,6475.08,-2.5602755453501658,1.6620559503361498,82.53790458222748,0.01310717396541819
IE,Ireland,2013,76.99,0.891672889800389,31531.28,1.2493424513413842,-0.033130712868323364,76.30956826743555,0.0024417023349511974
IS,Iceland,2013,85.21,2.12389180897381,29098.7,5.75896735757726,7.142528389435943,83.437869915287,0.002928309512108788
IT,Italy,2013,109.1,1.14767271753241,20656.6,-6.512425021422463,1.618089226119257,107.8620961499287,0.005281604910779122
LT,Lithuania,2013,90.65,1.2804398254596,5954.89,1.2170611880303772,5.6631527770138135,89.50395570578146,0.015222783292386593
LU,Luxembourg,2013,90.89,1.69564084428396,37792.02,4.978054978054991,1.1716978535827538,89.37452898219156,0.0024050050777915553
LV,Latvia,2013,97.62,1.63774796705858,5776.88,6.852014010507879,5.751949138424983,96.04699233560277,0.016898394981374028
MT,Malta,2013,92.16,2.27617130776592,16306.0,-0.4106332396801471,1.9128184775577317,90.10896557974908,0.0056519072733962955
