country,year,house_price,inflation
portugal,2017,117.02,1.512
sweden,2017,115.43,2.13567839195979
slovenia,2017,111.79,1.4804641250296
austria,2018,119.64,1.71331224142128
belgium,2018,109.42,1.62549140522624
bulgaria,2018,123.96,4.01294802026647
germany,2018,121.7,1.67288236267856
estonia,2018,117.07,4.18100954927787
spain,2018,118.58,1.18866049376642
finland,2018,103.34,1.93148146312941
france,2018,107.29,0.954039746763598
hungary,2018,145.5,4.81905990853369
ireland,2018,131.33,0.504303185867437
iceland,2018,142.01,2.65939410379872
italy,2018,98.6,1.06214844555262
lithuania,2018,123.18,3.52926732523658
luxembourg,2018,119.86,2.51207897088036
latvia,2018,129.3,3.90440702119261
malta,2018,117.45,2.04739393168398
netherlands,2018,123.61,2.43705822789788
norway,2018,115.53,6.65187760630525
poland,2018,112.74,1.20183602963484
portugal,2018,129.03,1.81259358499488
sweden,2018,114.35,2.39694704639354
slovenia,2018,121.55,2.15516436745132
austria,2019,126.6,1.72656362157248
belgium,2019,113.78,1.65543135079784
bulgaria,2019,131.42,5.25000676547264
germany,2019,128.7,2.19221376239045
estonia,2019,125.27,3.22677540914966
spain,2019,124.71,1.38571498030827
finland,2019,103.77,1.51668351870577
france,2019,110.86,1.22610785872136
hungary,2019,170.17,4.81475111565722
ireland,2019,134.41,2.6380626164293
iceland,2019,148.3,4.53455890679854
italy,2019,98.5,0.804266107177204
lithuania,2019,131.61,2.80689271412021
luxembourg,2019,131.99,3.39146548879242
latvia,2019,140.88,2.31299577433464
malta,2019,124.65,2.17116442813594
netherlands,2019,132.62,2.957773512476
norway,2019,120.18,-0.438000000000002
poland,2019,122.52,3.14878390793482
portugal,2019,141.88,1.73968573418995
sweden,2019,117.19,2.66835042761368
slovenia,2019,129.69,2.26045483201915
austria,2020,136.31,1.12711569400408
belgium,2020,118.6,0.88885158137236
bulgaria,2020,137.41,2.01924972359591
germany,2020,138.7,1.59506672664569
estonia,2020,132.79,-0.444417011295591
spain,2020,127.5,1.05313638979474
finland,2020,105.6,1.63959546429666
france,2020,116.62,2.24537280848741
hungary,2020,178.58,5.42265441481276
ireland,2020,134.82,0.617681498829036
iceland,2020,157.79,3.44590995675685
italy,2020,100.4,1.19581032771563
lithuania,2020,141.18,0.823425022182784
luxembourg,2020,151.12,2.33085352778937
latvia,2020,145.77,0.0525324251865741
malta,2020,128.86,0.916976000588045
netherlands,2020,142.75,2.23523051397253
norway,2020,126.11,-3.74540487334525
poland,2020,135.36,4.11865630361613
portugal,2020,154.33,2.52591535901093
sweden,2020,122.11,1.39400000000001
slovenia,2020,135.66,1.27232601567176
austria,2021,153.26,1.94340746030798
belgium,2021,127.06,2.92607611865446
bulgaria,2021,149.33,7.13268178883161
germany,2021,154.7,3.05760069776311
estonia,2021,152.78,5.99690607967075
spain,2021,132.19,2.30097428940913
finland,2021,110.45,2.54831154599869
france,2021,123.98,1.33331842600243
hungary,2021,208.04,6.30272339430066
ireland,2021,145.98,0.657643226323763
iceland,2021,177.57,5.99662119559468
italy,2021,103.0,0.538692422604536
lithuania,2021,163.84,6.50805313836133
luxembourg,2021,172.15,6.18129245488691
latvia,2021,161.65,6.88144180390806
malta,2021,135.44,1.81051812738831
netherlands,2021,164.21,2.52482146698544
norway,2021,137.66,16.9113499819995
poland,2021,147.77,5.05250600239986
portugal,2021,168.84,1.39879177784729
sweden,2021,134.46,2.97615308956182
slovenia,2021,151.32,2.60708736010702
